Division,?????,District,????
Barishal,??????,Barguna,??????
Barishal,??????,Barishal,??????
Barishal,??????,Bhola,????
Barishal,??????,Jhalokati,???????
Barishal,??????,Patuakhali,??????????
Barishal,??????,Pirojpur,????????
Chattogram,?????????,Bandarban,?????????
Chattogram,?????????,Brahmanbaria,????????????????
Chattogram,?????????,Chandpur,???????
Chattogram,?????????,Chattogram,?????????
Chattogram,?????????,Cumilla,????????
Chattogram,?????????,Cox's Bazar,?????????
Chattogram,?????????,Feni,????
Chattogram,?????????,Khagrachhari,??????????
Chattogram,?????????,Lakshmipur,??????????
Chattogram,?????????,Noakhali,?????????
Chattogram,?????????,Rangamati,????????
Dhaka,????,Dhaka,????
Dhaka,????,Faridpur,???????
Dhaka,????,Gazipur,???????
Dhaka,????,Gopalganj,?????????
Dhaka,????,Kishoreganj,?????????
Dhaka,????,Madaripur,?????????
Dhaka,????,Manikganj,?????????
Dhaka,????,Munshiganj,??????????
Dhaka,????,Narayanganj,??????????
Dhaka,????,Narsingdi,???????
Dhaka,????,Rajbari,???????
Dhaka,????,Shariatpur,?????????
Dhaka,????,Tangail,????????
Khulna,?????,Bagerhat,????????
Khulna,?????,Chuadanga,???????????
Khulna,?????,Jessore,????
Khulna,?????,Jhenaidah,???????
Khulna,?????,Khulna,?????
Khulna,?????,Kushtia,?????????
Khulna,?????,Magura,??????
Khulna,?????,Meherpur,????????
Khulna,?????,Narail,??????
Khulna,?????,Satkhira,?????????
Mymensingh,?????????,Jamalpur,????????
Mymensingh,?????????,Mymensingh,?????????
Mymensingh,?????????,Netrokona,?????????
Mymensingh,?????????,Sherpur,??????
Rajshahi,???????,Bogra,?????
Rajshahi,???????,Chapainawabganj,??????????????
Rajshahi,???????,Joypurhat,?????????
Rajshahi,???????,Naogaon,?????
Rajshahi,???????,Natore,?????
Rajshahi,???????,Pabna,?????
Rajshahi,???????,Rajshahi,???????
Rajshahi,???????,Sirajganj,?????????
Rangpur,?????,Dinajpur,????????
Rangpur,?????,Gaibandha,?????????
Rangpur,?????,Kurigram,?????????
Rangpur,?????,Lalmonirhat,??????????
Rangpur,?????,Nilphamari,?????????
Rangpur,?????,Panchagarh,???????
Rangpur,?????,Rangpur,?????
Rangpur,?????,Thakurgaon,?????????
Sylhet,?????,Habiganj,???????
Sylhet,?????,Moulvibazar,??????????
Sylhet,?????,Sunamganj,?????????
Sylhet,?????,Sylhet,?????
